productCode,productName,productCategory,productCategoryName,"productGroup","productGroupName",width,"height","color","colorName","price","quantity"
G-U3-1150x1000,1150x1000mm Glass Panel - Double Grey,G,Glass Panel,"G-U3-1000",1000mm Glass Panel - Double Grey,1150,1000,"U3","Double Grey",38870,42
G-U3-1200x1000,1200x1000mm Glass Panel - Double Grey,G,Glass Panel,"G-U3-1000",1000mm Glass Panel - Double Grey,1200,1000,"U3","Double Grey",40560,44
G-U3-1250x1000,1250x1000mm Glass Panel - Double Grey,G,Glass Panel,"G-U3-1000",1000mm Glass Panel - Double Grey,1250,1000,"U3","Double Grey",42250,46
G-U3-1300x1000,1300x1000mm Glass Panel - Double Grey,G,Glass Panel,"G-U3-1000",1000mm Glass Panel - Double Grey,1300,1000,"U3","Double Grey",43940,15
G-U3-1350x1000,1350x1000mm Glass Panel - Double Grey,G,Glass Panel,"G-U3-1000",1000mm Glass Panel - Double Grey,1350,1000,"U3","Double Grey",45630,25
G-U3-1400x1000,1400x1000mm Glass Panel - Double Grey,G,Glass Panel,"G-U3-1000",1000mm Glass Panel - Double Grey,1400,1000,"U3","Double Grey",47320,23
G-U3-1450x1000,1450x1000mm Glass Panel - Double Grey,G,Glass Panel,"G-U3-1000",1000mm Glass Panel - Double Grey,1450,1000,"U3","Double Grey",49010,22
G-U3-1500x1000,1500x1000mm Glass Panel - Double Grey,G,Glass Panel,"G-U3-1000",1000mm Glass Panel - Double Grey,1500,1000,"U3","Double Grey",50700,24
R-TM-958I-F1,958 mm Top-Mounted - Start,R,Railing Component,"R-TM-958","958 mm Top-Mounted",,958,,,16000,
R-TM-958K-F1,958 mm Top-Mounted - Middle,R,Railing Component,"R-TM-958","958 mm Top-Mounted",,958,,,16000,
R-TM-958S-F1,958 mm Top-Mounted - Corner,R,Railing Component,"R-TM-958","958 mm Top-Mounted",,958,,,20000,
R-TM-1000I-F1,1000 mm Top-Mounted - Start,R,Railing Component,"R-TM-1000","1000 mm Top-Mounted",,1000,,,21000,
R-TM-1000K-F1,1000 mm Top-Mounted - Middle,R,Railing Component,"R-TM-1000","1000 mm Top-Mounted",,1000,,,21000,
R-TM-1000S-F1,1000 mm Top-Mounted - Corner,R,Railing Component,"R-TM-1000","1000 mm Top-Mounted",,1000,,,25000,
R-TM-448-F1,448 mm Top-Mounted,R,Railing Component,"R-TM-448","448 mm Top-Mounted",,448,,,15000,
R-TM-448-F2,448 mm Top-Mounted,R,Railing Component,"R-TM-448","448 mm Top-Mounted",,448,,,17000,
R-SM-628-F1,628 mm Side-Mounted,R,Railing Component,"R-SM-628","628 mm Side-Mounted",,628,,,19000,
R-SM-628-F2,628 mm Side-Mounted,R,Railing Component,"R-SM-628","628 mm Side-Mounted",,628,,,21000,
R-TM-102-F1-T,102 mm Top-Mounted,R,Railing Component,"R-TM-102","102 mm Top-Mounted",,102,,,58750,
R-SM-117-F1-T,117 mm Side-Mounted,R,Railing Component,"R-SM-117","117 mm Side-Mounted",,117,,,64625,
,,,,,,,,,,,
